UTTERANCES,CORE RELATIONS
what is the release date for house at the end of the street,movie.initial_release_date
budget for gone with the wind,movie.estimated_budget
display director of the movie avengers,movie.directed_by
find italian movies,movie.country movie.language
please tell me when will the movie gone with the wind will be released,movie.initial_release_date
find movie finding nemo,none
i need movie information for life is beautiful,none
look for movies with brad pitt in them,movie.starring.actor
find romance movies,movie.genre
where was rocky four filmed,movie.country
looking for names of crew members of apollo thirteen,movie.starring.actor
who stars in hitch,movie.starring.actor
what movies has steven spielberg done,movie.directed_by
what date was spider released,movie.initial_release_date
who starred in the movie hitch,movie.starring.actor
when is sinister hitting theaters,movie.initial_release_date
will ferrell been in,movie.starring.actor
i would like to get a list of movie names in hindi language,movie.language
list spielberg movies,movie.directed_by
please find pg rated movies,movie.rating
give me movies in spanish,movie.language
can you show me a list of movies in spanish,movie.language
show me information on shelly long,none
find english movies,movie.language
show me all the information about the movie dirty dancing like story reviews cast etc,none
who produced avatar,movie.produced_by
show me the movies acted by chiranjeevi,movie.starring.actor
when was resident evil first in theatres,movie.initial_release_date
who produced hitch,movie.produced_by
i want to watch movies with brad pitt,movie.starring.actor
johnny depp movies,movie.starring.actor
i am looking for movies produced by clint eastwood,movie.produced_by
where can i find movies in russian,movie.language
producer for gone with the wind,movie.produced_by
movies starring tom cruise,movie.starring.actor
in what country was the movie mirror produced,movie.country
give me the best baseball movies,movie.subjects
who made et,movie.directed_by
alfred hitchcock,none
a list of all italian speaking movies,movie.language
i am looking for movies directed by tom hanks,movie.directed_by
what was the release date of the movie avatar,movie.initial_release_date
i want to see zombie movies,movie.subjects
show me new releases,movie.initial_release_date
can you tell me more about the producer ray stark,none
find movies produced by albert ruddy,movie.produced_by
i want to see videos of will ferrell,movie.starring.actor
find the director of hum tum,movie.directed_by
what recently released movies are rated r,movie.rating movie.initial_release_date
who plays in the movie the campaign,movie.starring.actor
rating for transylvania,movie.rating
search the movie in july,none
show me only movies with harrison ford,movie.starring.actor
what is the name of the company that produced sparkle,movie.produced_by
how much did it cost to produce the dark night,movie.estimated_budget
pg-13 movies,movie.rating
what movies have been made in the united states,movie.country
funny kids movies,movie.rating movie.genre
find the director andrew stanton,none
what movies has charles vidor directed,movie.directed_by
look for movies rated g,movie.rating
when life is beautiful was released,movie.initial_release_date
show me the page about house at the end of the street,none
tell me the rating of the film grease,movie.rating
find information on dirty dancing,none
when steven spielberg born,person.date_of_birth
can you show movies produced by clint eastwood,movie.produced_by
what are the top grossing movies,movie.gross_revenue gr.amount
find the movie dirty dancing,none
find movies about dogs,movie.subjects
show me the rating for the movie the expendables 2,movie.rating
find movies with pg ratings only,movie.rating
show me the name of the producer of the movie avatar,movie.produced_by
i would like to see french movies,movie.country movie.language
language of sound of music,movie.language
what genre is the movie looper,movie.genre
show me time travel movies,movie.subjects
show me all pg movies,movie.rating
find sandra bullock movies,movie.starring.actor
search twentieth century fox,movie.production_companies
what is a list of g movies,movie.rating
how many films did ed harris do with tom hanks,movie.starring.actor
what was the actor who played esme in twilight,movie.starring.actor movie.starring.character
rate r movies for adult enterainment,movie.rating
tell me what is the language of the movie hero,movie.language
when did dirty dancing come out,movie.initial_release_date
show me information on darla anderson,none
find spike lee directed movies,movie.directed_by
in july information,none
send me movies that are in chinese,movie.language
find a director,none
locate romantic movies for me,movie.genre
what movies has lionsgate done,movie.production_companies
please provide movies directed by oliver stone,movie.directed_by
give me a list of movies produced by george lucas,movie.produced_by
movies alfred hitchcock,movie.directed_by
what was the budget for old school,movie.estimated_budget
show me the directors of gone with the wind,movie.directed_by
find cast and crew for the movie finding nemo,movie.starring.actor
movie by steven spielberg,movie.directed_by
list of movies in spanish,movie.language
i want to look for movies about god,movie.subjects
show me movies produced by bruce lee,movie.produced_by
movies that have been directed by tony scott,movie.directed_by
who produced cabin in the woods,movie.produced_by
look up movies about dancing,movie.subjects
when will the great gatsby be out,movie.initial_release_date
i would like to get all the information about the movie dirty dancing,none
i want to find romantic movies,movie.genre
what is full name of star wars iv,none
company that produced iron man,movie.production_companies
the name of the male lead in the movie titanic,movie.starring.actor
who is hitchcock,none
show me movies that are about scary zombies,movie.subjects
when was the campaign released,movie.initial_release_date
find all details about star wars-a new hope movie,none
who directed the film avatar,movie.directed_by
can you tell me the director of the titanic,movie.directed_by
only movies rated g,movie.rating
who starred in dark knight rising,movie.starring.actor
get a list of movies with kristen stewart,movie.starring.actor
how much did et gross worldwide,movie.gross_revenue
which movies are from stephen spielberg,movie.directed_by
show me a list of movies made in america,movie.country
what movies do you have that were made in italy,movie.country
find me 20 th century fox films,movie.production_companies
movies with meg ryan,movie.starring.actor
what are some movies that involve time travel,movie.subjects
please search for movies about god,movie.subjects
can you give me the revenue of the movie titanic,movie.gross_revenue
show me england movies,movie.country
only show movies rated pg,movie.rating
show recent movies rated pg,movie.rating movie.initial_release_date
i would like to see house at the end of the street information,none
movies with harrison ford,movie.starring.actor
dawn of the dead movie information,none
movies about nature,movie.subjects
get hungarian films,movie.country movie.language
find out the genre for the movie rebel,movie.genre
what genre is the hunger games,movie.genre
find movies produced by steven spielberg,movie.produced_by
director of the movie hum tum,movie.directed_by
list hitchcock movies,movie.directed_by
who stars in finding nemo,movie.starring.actor
what actors were in dirty dancing,movie.starring.actor
what movies were directed by woody allen,movie.directed_by
budget for the blind side,movie.estimated_budget
when will 24 be released,movie.initial_release_date
what language is this film,movie.language
what is the reccommended audience for movie,movie.rating
who are the producers for the movie hitch,movie.produced_by
can you tell me the language of the movie aankhen,movie.language
release date for the watch,movie.initial_release_date
select the option to search for movies produced by stephen spielberg,movie.produced_by
life is beautiful movie page,none
find movies directed by james cameron,movie.directed_by
complete cast and crew of apollo thirteen,movie.starring.actor
company that produced the avengers,movie.production_companies
search for movies produced by morgan freeman,movie.produced_by
can you tell me more about the cast and crew of the movie apollo thirteen,movie.starring.actor
actors in house at the end of the street,movie.starring.actor
what was the production company for black swan,movie.production_companies
what is the movie genre,movie.genre
which language is used in the movie,movie.language
i want to know about life is beautiful,none
get all brad pitt produced movies,movie.produced_by
what movies about vampires are there,movie.subjects
find movies in french,movie.language
find zombie movies,movie.subjects
tell me the rating of the movie grease,movie.rating
look for the director of hum tum,movie.directed_by
find movies directed by steven spielberg,movie.directed_by
what rating is freedom writers,movie.rating
movies with bruce willis,movie.starring.actor
what genre is ted considered,movie.genre
list uk movies,movie.country
show me the actors in captain america,movie.starring.actor
search for lionsgate movies,movie.production_companies
show rating for the film avengers,movie.rating
movies directed by steven spielberg,movie.directed_by
when was step up released,movie.initial_release_date
list lionsgate movies,movie.production_companies
cast and crew of go,movie.starring.actor
find films in german,movie.language
search for steven spielberg,none
who is the producer of grease,movie.produced_by
do you have any movies made in japan,movie.country
show me the music composer for the movie,movie.music
see lionsgate info,none
search for the genre step up in,movie.genre
producer tom hanks movies,movie.produced_by
get list of zombie movies,movie.subjects
find information about kristen stewart,none
what available movies are rated g,movie.rating
what movies that clint eastwood starred in did he also direct,movie.starring.actor movie.directed_by
how much money did avatar make,movie.gross_revenue
what genre is looper,movie.genre
did robert wise direct the sound of music,movie.directed_by
show movies with brad pitt,movie.starring.actor
who directed soul surfer,movie.directed_by
what are all movies produced by chris nolan,movie.produced_by
is toy story for kids,movie.rating
i want to see anne hathaway's latest movie,movie.starring.actor movie.initial_release_date
what studio made the dark knight,movie.production_companies
who is the cast and crew for now forager,movie.starring.actor
what actor played in the amazing spider man,movie.starring.actor
hitchcock movies,movie.directed_by
how many movies were released on nine twenty eight twelve,movie.initial_release_date
show only movies that are in french,movie.language
show me more information about will smith,none
director of avatar,movie.directed_by
find scifi films,movie.genre
i would like to know the release date of the movie barfi,movie.initial_release_date
i am looking for movies made in france,movie.country
what country is outside the law from,movie.country
find movies directed by chris columbus,movie.directed_by
how much was it to make the film batman begins,movie.estimated_budget
dispaly info for movie house at the end of the street,none
list some paramount produced films,movie.production_companies
i want to go to the homepage for in july,none
show me g movies,movie.rating
movies regarding the hobby of chess,movie.subjects
what catergory is ted in,movie.genre
who produced this movie,movie.produced_by
can you show me details about the movie the campaign,none
avatar release,movie.initial_release_date
show me more information about the cast and crew of the movie apollo thirteen,movie.starring.actor
tell me where is trainspotting from,movie.country
bring up black swan production,none
movies will smith stars in,movie.starring.actor
show only rated r movies,movie.rating
movies about basketball,movie.subjects
who are the lead actors in this movie,movie.starring.actor
i want to see all movies with a r rating,movie.rating
